ANIO;PROVINCIA;INV_ID_PESOS_CORR;
2013;Chaco;165;
2013;Chubut;256;
2013;Ciudad de Buenos Aires;4978;
2013;Córdoba;1851;
2013;Corrientes;169;
2013;Entre Ríos;206;
2013;Formosa;62;
2013;Jujuy;163;
2013;La Pampa;117;
2013;La Rioja;152;
2013;Mendoza;576;
2013;Misiones;233;
2013;Neuquén;159;
2013;Río  Negro;1496;
2013;Salta;185;
2013;San Juan;346;
2013;San Luis;259;
2013;Santa Cruz;132;
2013;Santa Fe;1350;
2013;Santiago del Estero;87;
2013;Tierra del Fuego;66;
2013;Tucumán;684;
2014;Buenos Aires;8975;
2014;Catamarca;177;
2014;Chaco;196;
2014;Chubut;342;
2014;Ciudad de Buenos Aires;6190;
2014;Córdoba;2881;
2014;Corrientes;219;
2014;Entre Ríos;309;
2014;Formosa;86;
2014;Jujuy;205;
2014;La Pampa;130;
2014;La Rioja;141;
2014;Mendoza;766;
2014;Misiones;315;
2014;Neuquén;212;
2014;Río  Negro;2049;
2014;Salta;266;
2014;San Juan;462;
2014;San Luis;297;
2014;Santa Cruz;167;
2014;Santa Fe;1766;
2014;Santiago del Estero;109;
2014;Tierra del Fuego;68;
2014;Tucumán;868;
2015;Buenos Aires;12596;
2015;Catamarca;287;
2015;Chaco;269;
2015;Chubut;473;
2015;Ciudad de Buenos Aires;9874;
2015;Córdoba;3629;
2015;Corrientes;365;
2015;Entre Ríos;494;
2015;Formosa;139;
2015;Jujuy;268;
2015;La Pampa;200;
2015;La Rioja;157;
2015;Mendoza;1134;
2015;Misiones;430;
2015;Neuquén;302;
2015;Río  Negro;1602;
2015;Salta;490;
2015;San Juan;571;
2015;San Luis;365;
2015;Santa Cruz;166;
2015;Santa Fe;1898;
2015;Santiago del Estero;149;
2015;Tierra del Fuego;192;
2015;Tucumán;1025;
2016;Buenos Aires;15172;
2016;Catamarca;171;
2016;Chaco;265;
2016;Chubut;673;
2016;Ciudad de Buenos Aires;11330;
2016;Córdoba;4699;
2016;Corrientes;495;
2016;Entre Ríos;565;
2016;Formosa;332;
2016;Jujuy;454;
2016;La Pampa;496;
2016;La Rioja;219;
2016;Mendoza;1332;
2016;Misiones;387;
2016;Neuquén;371;
2016;Río  Negro;2526;
2016;Salta;541;
2016;San Juan;538;
2016;San Luis;417;
2016;Santa Cruz;212;
2016;Santa Fe;2936;
2016;Santiago del Estero;309;
2016;Tierra del Fuego;180;
2016;Tucumán;1303;
2017;Buenos Aires;16435;
2017;Catamarca;213;
2017;Chaco;294;
2017;Chubut;775;
2017;Ciudad de Buenos Aires;20154;
2017;Córdoba;4552;
2017;Corrientes;577;
2017;Entre Ríos;685;
2017;Formosa;205;
2017;Jujuy;568;
2017;La Pampa;185;
2017;La Rioja;323;
2017;Mendoza;1367;
2017;Misiones;474;
2017;Neuquén;287;
2017;Río  Negro;3105;
2017;Salta;678;
2017;San Juan;835;
2017;San Luis;759;
2017;Santa Cruz;225;
2017;Santa Fe;4424;
2017;Santiago del Estero;346;
2017;Tierra del Fuego;243;
2017;Tucumán;1596;
