organizacion_id;provincia_id
756;06
866;06
887;82
907;18
1558;38
1578;22
1736;78
1899;06
3988;22
4650;22
4813;22
5757;22
5953;14
6568;58
6579;06
6788;90
6790;22
7378;82
7882;90
8256;82
8475;46
8537;90
8575;82
8576;82
8584;82
8664;82
8665;82
8666;82
8667;82
8668;82
8669;82
8670;82
8679;82
8680;82
8706;30
8744;38
8747;50
8754;62
8803;38
8804;58
8819;50
8956;14
8977;38
9173;38
9209;82
9213;58
9453;70
9622;90
9623;90
9624;62
9788;38
10040;30
10041;30
15611;22
15614;66
15724;22
15818;22
15839;50
15860;22
15902;22
15911;22
15912;22
15913;22
15958;22
16055;38
16150;38
16165;22
16190;22
52;06
92;06
1607;06
7132;06
10513;06
11160;06
11162;06
11163;06
11164;06
11165;06
11166;06
11167;06
11168;06
11169;06
11170;06
11171;06
11172;06
11173;06
12172;06
12651;06
12932;06
13451;06
13524;06
13780;06
14418;06
14685;06
15023;06
12080;06
14704;06
14987;06
16004;06
16014;06
16844;06
17227;06
18702;06
18832;06
12996;06
16589;06
18703;06
12485;06
16742;06
19807;06
11901;06
12503;06
16963;06
16568;06
576;06
4681;06
4682;06
5456;06
8442;06
9246;06
9247;06
9248;06
9249;06
9250;06
9251;06
9252;06
9253;06
9254;06
9922;06
9960;06
9961;06
10356;06
12164;06
12522;06
12554;06
12821;06
12931;06
13195;06
13246;06
13407;06
13443;06
14344;06
14457;06
14696;06
14706;06
15970;06
16035;06
16099;06
16132;06
16297;06
16306;06
16567;06
16807;06
16960;06
17570;06
17636;06
18081;06
18489;06
18490;06
18835;06
11680;06
13201;06
13389;06
13496;06
14121;06
16692;06
11859;06
12149;06
12627;06
12674;06
12762;06
13986;06
16962;06
17144;06
11805;06
19237;06
12605;06
13152;06
879;06
11139;06
11140;06
11537;06
12002;06
12032;06
12191;06
12947;06
13452;06
14634;06
14975;06
17608;06
17633;06
17634;06
17751;06
17958;06
18683;06
13885;06
14951;06
14983;06
16829;06
12229;06
10944;06
11833;06
11877;06
11997;06
12707;06
12767;06
13386;06
13615;06
14176;06
14333;06
14566;06
12196;06
17127;06
11959;06
1129;06
3920;06
4954;06
8453;06
8749;06
9488;06
9804;06
9863;06
9864;06
9865;06
10343;06
10357;06
11619;06
11769;06
11866;06
12525;06
13481;06
14837;06
14974;06
15278;06
15285;06
16010;06
16704;06
17344;06
17967;06
17976;06
18323;06
18686;06
18687;06
18688;06
18718;06
18837;06
19081;06
19352;06
10609;06
11688;06
11792;06
11953;06
12009;06
12415;06
12489;06
12613;06
15135;06
